%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013, dunes from 2010 and 2013 in LMSL, Version 1.1 Compiled 3/29/17 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
289.352 42.1982 289.297 42.1571 0.0862 0.1380 0.0345 4.1681 2.4580 11 2013
289.350 42.2036 289.294 42.1610 0.0990 0.1636 0.0344 4.5394 2.4029 11 2013
289.347 42.2086 289.289 42.1636 0.1412 0.1595 0.1229 4.3038 2.4556 11 2013
289.333 42.2217 289.282 42.1782 0.1068 0.1808 0.0328 3.6240 3.0701 11 2013
289.327 42.2253 289.281 42.1826 0.1082 0.1736 0.0428 4.4549 3.2443 11 2013
289.320 42.2286 289.283 42.1948 0.1323 0.1949 0.0698 6.0830 3.6382 11 2013
289.313 42.2317 289.284 42.2037 0.1592 0.2022 0.1163 4.3770 3.0948 11 2013
289.306 42.2347 289.278 42.2078 0.1535 0.2125 0.0944 4.0414 2.8464 11 2013
289.299 42.2377 289.273 42.2098 0.1712 0.2485 0.0939 4.5262 2.8607 11 2013
289.291 42.2408 289.267 42.2120 0.1910 0.2895 0.0925 4.9925 3.3739 11 2013
289.284 42.2441 289.259 42.2186 0.1493 0.2151 0.0836 4.5128 3.2201 11 2013
289.276 42.2477 289.254 42.2197 0.1470 0.2185 0.0755 4.5322 3.3448 11 2013
289.269 42.2517 289.246 42.2264 0.1511 0.2054 0.0968 5.1683 3.5197 11 2013
289.262 42.2561 289.243 42.2302 0.1814 0.3331 0.0298 5.0322 3.5577 11 2013
289.256 42.2608 289.239 42.2386 0.1572 0.3414 0.0010 4.2918 2.8272 11 2013
289.250 42.2659 289.234 42.2455 0.1194 0.2024 0.0363 3.9502 2.5390 11 2013
289.244 42.2711 289.221 42.2418 0.0973 0.1244 0.0702 3.5787 2.4271 11 2013
289.239 42.2763 289.214 42.2473 0.0702 0.1210 0.0194 3.7543 2.1230 11 2013
289.234 42.2813 289.210 42.2501 0.0521 0.0880 0.0163 3.6854 2.0061 11 2013
289.229 42.2860 289.203 42.2551 0.0554 0.0877 0.0232 4.0455 2.9024 11 2013
289.225 42.2902 289.198 42.2573 0.0729 0.1578 0.0010 4.2854 2.9009 11 2013
289.214 42.3008 289.187 42.2611 0.1058 0.1912 0.0205 4.7051 3.0950 11 2013
289.211 42.3037 289.181 42.2623 0.1241 0.1796 0.0686 5.0861 3.6006 11 2013
289.207 42.3064 289.175 42.2636 0.1266 0.1785 0.0747 7.2907 3.5626 11 2013
289.204 42.3090 289.171 42.2668 0.1189 0.1870 0.0508 9.3463 3.5578 11 2013
289.200 42.3114 289.166 42.2668 0.1070 0.1841 0.0299 8.8100 3.4587 11 2013
289.195 42.3138 289.154 42.2673 0.1112 0.1841 0.0383 4.3611 2.5455 11 2013
289.190 42.3162 289.148 42.2682 0.1165 0.2245 0.0085 4.3128 2.3331 11 2013
289.185 42.3187 289.144 42.2710 0.1028 0.1970 0.0085 4.3467 2.2380 11 2013
289.180 42.3215 289.136 42.2778 0.0715 0.1200 0.0229 4.3572 2.6950 11 2013
289.175 42.3246 289.132 42.2814 0.0573 0.0896 0.0249 4.4909 3.0172 11 2013
289.169 42.3280 289.126 42.2891 0.0513 0.0710 0.0316 4.8332 3.0476 11 2013
289.164 42.3317 289.124 42.2931 0.0582 0.0756 0.0409 4.9106 3.1463 11 2013
289.159 42.3356 289.119 42.3012 0.0821 0.1120 0.0521 4.6957 3.4206 11 2013
289.107 42.3884 289.010 42.4035 0.0411 0.0638 0.0185 4.1684 2.6554 11 2013
289.103 42.4166 289.010 42.4122 0.0504 0.0688 0.0320 4.3146 2.8099 11 2013
289.105 42.4226 289.012 42.4165 0.0463 0.0690 0.0235 4.3288 2.6607 11 2013
289.108 42.4285 289.017 42.4244 0.0365 0.0652 0.0078 4.0423 2.3088 11 2013
289.112 42.4343 289.024 42.4313 0.0833 0.1280 0.0387 3.8238 2.3097 11 2013
289.117 42.4398 289.033 42.4371 0.0985 0.1495 0.0474 4.1276 2.4477 11 2013
289.122 42.4451 289.061 42.4425 0.0333 0.0485 0.0182 4.3584 2.8254 11 2013
289.128 42.4500 289.061 42.4468 0.0398 0.0565 0.0230 4.3248 2.9379 11 2013
289.134 42.4547 289.063 42.4552 0.0544 0.1797 0.0010 4.2284 2.6614 11 2013
289.140 42.4593 289.066 42.4592 0.0958 0.3539 0.0010 4.8556 2.3338 11 2013
289.147 42.4636 289.100 42.4638 0.0884 0.1047 0.0721 3.9014 2.2314 11 2013
289.154 42.4679 289.112 42.4679 0.1390 0.2522 0.0259 5.8522 3.3164 11 2013
289.161 42.4722 289.114 42.4719 0.1501 0.3415 0.0010 5.1842 3.3620 11 2013
289.168 42.4765 289.121 42.4792 0.3343 0.5241 0.1445 5.6549 2.5433 11 2013
289.175 42.4809 289.126 42.4820 0.2545 0.3736 0.1353 5.0769 2.5453 11 2013
289.181 42.4854 289.136 42.4870 0.1580 0.2258 0.0902 5.2308 3.5040 11 2013
289.188 42.4901 289.146 42.4914 0.1253 0.1779 0.0728 4.5863 3.1193 11 2013
